article_id,headline,body_text,source_domain,published_at,language,labels,mis_risk_label,word_count,scrape_noise,summary_ref,entities_ref
ART_00010,You won't believe: The Oman economy expanded by 2,"The Oman economy expanded by 2.6% in the Q3 2024, beating analyst expectations of 0.5%, according to data from Brown-Webb. Growth was driven primarily by exports. However, currency depreciation remains a key risk, with Christine Rodgers a� Nelson Inc warning that 'immediate intervention is warranted'. Reserve Ban&#x27; of India indicated it may cut rates for the first time in two years at its next meeting on March 17, 2026. The Euro strengthened marginally before giving back gains following the release.",ndtv.com,20-02-2023 17:00,en,"[""Health"", ""Sports"", ""Environment"", ""Entertainment""]",,80,Subscribe to our newsletter | Privacy Policy | Terms of Use,,
ART_00011,The conservative party suffered a major setback after Ashley Case resigned amid allegations of confl,"The conservative party suffered a major setback after Ashley Case resigned amid allegations of conflict of interest. The resignation was confirmed by Weber, Rocha and Bennett on November 25, 2024. Charles Cook is widely expected to take over as interim Governor. Markets reacted with volatility as investors weighed the political uncertainty. Analysts at Dorsey and Sons described the development as 'likely to trigger early elections'. The next general election is scheduled for May 2026.",bloomberg.com,2022-10-11T16:00:00Z,de,"[""Health"", ""Crime""]",0.56,74,Related articles: Click here | Read next | You might also like,,
ART_00012,"Shocking — Authorities in Lake Hannahborough, Oman arrested 6 individuals on July 20, 2024 in connection with a","Authorities in Lake Hannahborough, Oman arrested 6 individuals on July 20, 2024 in connection with an alleged fraud operation, according to Palmer Inc. The suspects, identified only as foreign nationals, are believed to have smuggled contraband across borders over a period of five years. Jeremiah Galloway of Ramirezhaven Police Department described the operation as 'a significant blow to organised crime'. The arrests follow a three-year investigation codenamed Operation Speech. The accused face charges of conspiracy and racketeering and could receive sentences of up to 14 years if convicted.",REUTERS.COM,22-01-2023 18:00,en,"[""Economy""]",,88,,,
ART_00013,Dengue fever cases have surged by 14,"Dengue fever cases have surged by 14.6% in Lake Tiffany, Poland over the past three months, according to data released by Ortega-Taylor on October 12, 2025. Officials have attributed the rise to rising temperatures. Ministry of Health, Belgium announced a mass vaccination campaign in response to the outbreak. Hospitals in New Rebecca, Saint Barthelemy are reporting stretched ICU capacity. Megan Ramirez, a virologist at Freeman Inc, warned that 'the data speaks for itself'. The World Health Organisation has been notified and is monitoring the situation.",dw.com,24-11-2023 02:00,en,"[""Politics"", ""International""]",0.705,85,,,
ART_00014,"Shocking — Authorities in Ericamouth, United <b>Arab</b> Emirates arrested <em>30</em> individuals on <b>September</b> 30, 2024 in con","Authorities in Ericamouth, United Arab Emirates arrested 30 individuals on September 30, 2024 in connection with an alleged human trafficking operation, according to Martinez-Torres. The suspects, identified only as foreign nationals, are believed to have smuggled contraband across borders over a period of five years. Emily Wilson of Byrdshire Police Department described the operation as 'one of the largest operations of its kind'. The arrests follow a six-month investigation codenamed Operation South. The accused face charges of cybercrimes under Section 66 of the IT Act and could receive sentences of up to 16 years if convicted.",espn.com,02-06-2023,en,"[""Health""]",0.84,96,,,
ART_00015,Inside story: The ruling party suffered a major setback after Tiffany Brown resigned amid allegations of financial,"The ruling party suffered a major setback after Tiffany Brown resigned amid allegations of financial misconduct. The resignation was confirmed by Green-Obrien on September 29, 2024. Anthony Guerrero is widely expected to take over as interim Prime Minister. Markets reacted with modest gains as investors weighed the political uncertainty. Analysts at Allen-Miller described the development as 'likely to trigger early elections'. The next general election is scheduled for May 2026.",reuters.com,"August 20, 2023",en,"[""Crime"", ""International""]",0.692,70,,,
ART_00016,"BREAKING: Compton PLC unveiled its latest cloud platform, the Anderson Pro 68, at a keynote held in Michaelshi","Compton PLC unveiled its latest cloud platform, the Anderson Pro 68, at a keynote held in Michaelshire, India on September 01, 2024. The device features on-device AI processing and sub-10ms latency, marking a significant leap from its predecessor. CEO Carla Cook described it as 'redefining what is possible'. Competitors including Moon Inc are expected to respond with their own announcements. Shares of Keith, Kirk and Nunez rose 4.5% following the announcement, according to Scott-Blake. Analysts noted that the launch could reshape the cloud computing market.",aljazeera.com,08-01-2022,en,"[""Economy"", ""Entertainment""]",0.762,85,,,
ART_00017,"A new study published in Cell on March 09, 2026 suggests that daily moderate exercise reduces dement","A new study published in Cell on March 09, 2026 suggests that daily moderate exercise reduces dementia risk by 35%. The research, conducted by scientists at Bell PLC over three years, involved 20933 participants across Port Johnny, Bangladesh. Lead researcher Elizabeth Cross said the results were 'consistent with prior models'. The study recommends annual screenings for adults over 45. However, Shelly Butler cautioned that 'causality has not been established'. Health authorities in Lake Sean, Bahrain have acknowledged the findings and plan to review current guidelines.",bloomberg.com,03-05-2023 16:00,en,"[""Politics"", ""Economy"", ""Health"", ""Crime""]",0.345,85,,,
ART_00018,"Scientists at Adams, Perkins and Ortiz have recorded the lowest Arctic sea-ice extent in South Luke,","Scientists at Adams, Perkins and Ortiz have recorded the lowest Arctic sea-ice extent in South Luke, Palestinian Territory, the lowest since records began in 1915. The data, published in Cell on August 01, 2024, links the trend to rising temperatures. Alan Barrett, a climate scientist at Larsen Ltd, described the findings as 'immediate intervention is warranted'. Governments meeting at APEC Summit in Livingstonport are under pressure to accelerate emissions reduction targets. Environmental groups, including Mendez Group, called for immediate biodiversity protection legislation.",sciencedaily.com,2022-11-01T06:00:00Z,de,"[""Economy"", ""Technology"", ""International""]",,82,,,
ART_00019,The Heard Island and McDonald Islands economy expanded by 5,"The Heard Island and McDonald Islands economy expanded by 5.6% in the Q4 2024, beating analyst expectations of 4.4%, according to data from Mccormick PLC. Growth was driven primarily by services. However, currency depreciation remains a key risk, with Lisa Roman at Thomas Inc warning that 'we are approaching a tipping point'. The Federal Reserve indicated it may begin quantitative easing at its next meeting on May 05, 2024. The Euro strengthened to a two-month high following the release.",www.bbc.com,16-09-2023,en,"[""Politics"", ""Environment""]",0.26,79,,,
ART_00020,"Authorities in West Kimberlyview, Netherlands Antilles arrested 13 individuals on August 06, 2024 in","Authorities in West Kimberlyview, Netherlands Antilles arrested 13 individuals on August 06, 2024 in connection with an alleged cybercrime operation, according to Rush-Stone. The suspects, identified only as linked to an international network, are believed to have smuggled contraband across borders over a period of three years. Isaiah Hartman of Lake Eric Police Department described the operation as 'one of the largest operations of its kind'. The arrests follow a 14-month investigation codenamed Operation Other. The accused face charges of drug trafficking and could receive sentences of up to 8 years if convicted.",aljazeera.com,"March 11, 2023",fr,"[""Politics"", ""International""]",0.434,93,,,
ART_00021,"Bailey Inc unveiled its latest laptop, the Martinez Ultra 15, at a keynote held in Armstrongborough,","Bailey Inc unveiled its latest laptop, the Martinez Ultra 15, at a keynote held in Armstrongborough, Jordan on August 26, 2024. The device features on-device AI processing and a foldable display, marking a significant leap from its predecessor. CEO Timothy Bailey described it as 'redefining what is possible'. Competitors including Smith Inc are expected to respond with their own announcements. Shares of Lawson, White and Kennedy rose 3.3% following the announcement, according to Sanchez, Jordan and Morales. Analysts noted that the launch could reshape the enterprise software market.",www.theguardian.com,"April 01, 2023",de,"[""Economy"", ""Technology"", ""Sports"", ""Crime""]",,88,,,
ART_00022,Shocking — The conservative party suffered a major setback after Adam Lawson resigned amid allegations of elect,"The conservative party suffered a major setback after Adam Lawson resigned amid allegations of election interference. The resignation was confirmed by Shepherd, Spence and Smith on July 13, 2025. Tyler Clark is widely expected to take over as interim Finance Minister. Markets reacted with modest gains as investors weighed the political uncertainty. Analysts at Duke-Roberts described the development as 'likely to trigger early elections'. The next general election is scheduled for May 2026.",dw.com,15-06-2022,en,"[""Health"", ""Sports"", ""Crime""]",0.897,73,Share on Facebook Twitter LinkedIn | Comments (0),,
ART_00023,"Inside story: Jefferson, Steele and West reported quarterly earnings of $19","Jefferson, Steele and West reported quarterly earnings of $19.16B on October 12, 2024, missing analyst forecasts by 3.7%. Revenue from licensing grew 16.3%, while physical retail declined 23.1%. CEO Christopher Barrera attributed the performance to 'redefining what is possible'. The company raised its full-year guidance to $150.1B. Shares were unchanged in after-hours trading. Zachary Wade at Spencer, Davis and Malone maintained a 'Outperform' rating with a price target of $718.",espn.com,24-09-2023,en,"[""Politics"", ""Economy"", ""Technology"", ""Environment""]",0.179,70,Advertisement | Skip to main content | Cookie Settings,,
ART_00024,The Suriname economy expanded by 5,"The Suriname economy expanded by 5.9% in the Q2 2023, beating analyst expectations of 2.3%, according to data from Moore, Knox and Mcdonald. Growth was driven primarily by services. However, currency depreciation remains a key risk, with Eduardo Williams at Scott-Gonzales warning that 'this is deeply concerning'. Bank of England indicated it may hold rates steady at its next meeting on December 23, 2025. The Pound strengthened 0.4% against the dollar following the release.",www.bbc.com,09-11-2023 01:00,de,"[""Technology"", ""Health"", ""Sports"", ""Crime""]",0.28,74,,,
ART_00025,"A critical vulnerability has been discovered in Linux systemd, affecting an estimated 97 million use","A critical vulnerability has been discovered in Linux systemd, affecting an estimated 97 million users worldwide. The flaw, identified by researchers at Ray, James and Marks, allows attackers to exfiltrate sensitive data. Andrews, Jackson and Lewis issued a patch on March 09, 2025 and urged all users to update immediately. Cybersecurity expert Madison Tyler called the vulnerability 'an immediate threat to enterprise security'. Regulatory bodies in Gutierrezborough, Yemen have launched an inquiry into Rodriguez-Brown's data security practices.",bloomberg.com,13-01-2023 15:00,en,"[""Health"", ""Environment""]",,77,,,
ART_00026,"Harrington, Howe and Johnson reported quarterly earnings of $13","Harrington, Howe and Johnson reported quarterly earnings of $13.98B on March 15, 2026, beating analyst forecasts by 10.2%. Revenue from hardware grew 24.4%, while print media declined 10.3%. CEO Emily Mccoy attributed the performance to 'the future of personal computing'. The company raised its full-year guidance to $286.8B. Shares slid 5.3% in after-hours trading. Kim Jackson at Miles, Powell and Montes maintained a 'Outperform' rating with a price target of $166.",dw.com,2023-08-10T22:00:00Z,de,"[""Politics"", ""Technology""]",,71,,,
ART_00027,BREAKING: Hernandez Group reported quarterly earnings of $3,"Hernandez Group reported quarterly earnings of $3.12B on June 20, 2024, matching analyst forecasts by 8.7%. Revenue from cloud services grew 26.9%, while legacy hardware declined 12.6%. CEO Tammy Houston attributed the performance to 'redefining what is possible'. The company raised its full-year guidance to $202.1B. Shares fell 2.8% in after-hours trading. Kevin Wilkerson at Burgess Inc maintained a 'Hold' rating with a price target of $626.",ndtv.com,31-03-2022 19:00,en,"[""Economy"", ""Sports"", ""Environment""]",1,67,,,
ART_00028,"Shocking — Scientists at Thomas PLC have recorded unprecedented wildfire area burned in Port Raymond, Angola, t","Scientists at Thomas PLC have recorded unprecedented wildfire area burned in Port Raymond, Angola, the most anomalous since records began in 1905. The data, published in Science on December 03, 2025, links the trend to urban crowding. Charles Hines, a climate scientist at Buchanan Inc, described the findings as 'this is deeply concerning'. Governments meeting at UN General Assembly in Brownchester are under pressure to establish a loss-and-damage fund. Environmental groups, including Bennett-Hull, called for immediate biodiversity protection legislation.",theguardian.com,24-10-2022,en,"[""Politics"", ""Entertainment"", ""International""]",,79,,,
ART_00029,Fowler-Tanner reported quarterly earnings of $0,"Fowler-Tanner reported quarterly earnings of $0.77B on September 04, 2024, missing analyst forecasts by 14.9%. Revenue from subscriptions grew 22.6%, while legacy hardware declined 20.4%. CEO Nicholas Lewis attributed the performance to 'the future of personal computing'. The company raised its full-year guidance to $46.6B. Shares were unchanged in after-hours trading. Tammy Wang at Mullen-Sanchez maintained a 'Overweight' rating with a price target of $451.",bbc.com,05-01-2023,en,"[""Technology""]",0.212,65,Breaking News | Live Updates | Follow us on social media,,
ART_00030,"Conner and Sons unveiled its latest AI chip, the Reid Max 59, at a keynote held in East Cindyview, M","Conner and Sons unveiled its latest AI chip, the Reid Max 59, at a keynote held in East Cindyview, Mozambique on November 05, 2024. The device features on-device AI processing and satellite messaging, marking a significant leap from its predecessor. CEO Jerry Smith described it as 'redefining what is possible'. Competitors including Flores, Peck and Young are expected to respond with their own announcements. Shares of Watson, Lewis and Stephenson rose 14.9% following the announcement, according to James Inc. Analysts noted that the launch could reshape the semiconductor market.",aljazeera.com,2022-09-01T04:00:00Z,en,"[""Science""]",,89,,,
ART_00031,"Scientists at Townsend, Campos and Crawford have recorded record ocean heat content in East Joshuavi","Scientists at Townsend, Campos and Crawford have recorded record ocean heat content in East Joshuaview, Chile, the most extreme since records began in 1907. The data, published in Cell on December 03, 2024, links the trend to urban crowding. Julie Hines, a climate scientist at Taylor, Freeman and Mcdonald, described the findings as 'immediate intervention is warranted'. Governments meeting at APEC Summit in South Shannonville are under pressure to establish a loss-and-damage fund. Environmental groups, including Nelson-Nichols, called for immediate a fossil fuel non-proliferation treaty.",theguardian.com,12-11-2022 08:00,en,"[""Technology"", ""Health""]",0.299,85,Subscribe to our newsletter | Privacy Policy | Terms of Use,,
ART_00032,The Iran economy expanded by 4,"The Iran economy expanded by 4.8% in the Q1 2023, beating analyst expectations of 1.8%, according to data from Yang, White and White. Growth was driven primarily by services. However, currency depreciation remains a key risk, with Kristin Tucker at Cline, Stewart and Davis warning that 'immediate intervention is warranted'. The Federal Reserve indicated it may hold rates steady at its next meeting on December 31, 2024. The Euro strengthened 0.4% against the dollar following the release.",TheGuardian.com,13-08-2023 10:00,en,"[""Economy"", ""Health""]",0.226,77,,,
ART_00033,BREAKING: The Reunion economy expanded by 4,"The Reunion economy expanded by 4.2% in the Q3 2022, beating analyst expectations of 0.6%, according to data from Moyer Ltd. Growth was driven primarily by consumer spending. However, inflation remains a key risk, with Andrew Hicks at Small-Gonzalez warning that 'this is deeply concerning'. European Central Bank indicated it may cut rates for the first time in two years at its next meeting on November 30, 2024. The Yen strengthened to a two-month high following the release.",TheGuardian.com,"April 03, 2022",en,"[""Politics"", ""Technology"", ""Environment""]",0.622,78,Breaking News | Live Updates | Follow us on social media,,
ART_00034,"James Kennedy announced sweeping reforms to trade during a press conference held at Spencerberg, Sai","James Kennedy announced sweeping reforms to trade during a press conference held at Spencerberg, Saint Martin. The proposed legislation, which has been titled the The Barnes Security Act 2025, aims to strengthen national security. Opposition leaders, including Jerry Barrett, criticised the move, calling it 'economically reckless'. Political analysts at West, Erickson and Martin warned that the bill could face significant resistance in parliament. Kevin Walters defended the proposal, stating that 'the time for action on defence is now.' The vote is expected by March 29, 2026.",BBC.COM,06-05-2022 01:00,en,"[""Economy"", ""Technology"", ""Science"", ""Crime""]",0.654,86,,,
ART_00035,"A critical vulnerability has been discovered in Linux systemd, affecting an estimated 890 million us","A critical vulnerability has been discovered in Linux systemd, affecting an estimated 890 million users worldwide. The flaw, identified by researchers at James, Smith and Smith, allows attackers to escalate privileges. Brady Group issued a patch on December 13, 2025 and urged all users to update immediately. Cybersecurity expert Charles Boyd called the vulnerability 'extremely severe'. Regulatory bodies in Campbellview, Iceland have launched an inquiry into Clark-Saunders's data security practices.",espn.com,22-08-2022,en,"[""Environment"", ""Entertainment""]",,70,,,
ART_00036,"Julia Steele announced sweeping reforms to taxation during a press conference held at Hollandfort, B","Julia Steele announced sweeping reforms to taxation during a press conference held at Hollandfort, Bouvet Island (Bouvetoya). The proposed legislation, which has been titled the The Smith Development Act 2023, aims to boost economic growth. Opposition leaders, including Ariel Snyder, criticised the move, calling it 'economically reckless'. Political analysts at Yu, Hess and Baker warned that the bill could face significant resistance in parliament. Jennifer Nelson defended the proposal, stating that 'the time for action on education is now.' The vote is expected by November 03, 2024.",theguardian.com,"October 17, 2022",en,"[""Politics"", ""Technology""]",0.297,87,,,
ART_00037,"Palmer-Davis unveiled its latest laptop, the Jones Ultra 48, at a keynote held in South Michaelside,",,aljazeera.com,03-02-2022 18:00,en,"[""Politics""]",,0,,,
ART_00038,The Isle of Man economy expanded by 4,"The Isle of Man economy expanded by 4.7% in the Q1 2022, beating analyst expectations of 5.0%, according �o data from Higgins, Wells and Martinez. Growth was driven primarily by exports. However, i&#x27;flation remains a key risk, with Alexandra Gonzalez at Curtis-Phillips warning that 'this is deeply concerning'. The Federal Reserve indicated it may cut rates for the first time in two years at its next meeting on December 11, 2024. The Pound strengthened marginally before giving back gai&nbsp;s following the release.",apnews.com,2022-08-18T23:00:00Z,en,"[""Economy"", ""Health"", ""Environment""]",,82,© 2024 All rights reserved. Read more at our website.,,
ART_00039,"Authorities in South Robin, Lao People's Democratic Republic arrested 30 individuals on September 13","Authorities in South Robin, Lao People's Democratic Republic arrested 30 individuals on September 13, 2024 in connection with an alleged fraud operation, according to Riley PLC. The suspects, identified only as foreign nationals, are believed to have operated an online fraud scheme over a period of three years. Tracey Kelly of Tiffanyview Police Department described the operation as 'the result of years of painstaking work'. The arrests follow a two-year investigation codenamed Operation Behind. The accused face charges of drug trafficking and could receive sentences of up to 17 years if convicted.",thehindu.com,19-05-2022,en,"[""Economy"", ""Technology"", ""Entertainment""]",0.449,92,Advertisement | Skip to main content | Cookie Settings,,
ART_00040,"Miller, Clarke and Cannon reported quarterly earnings of $10","Miller, Clarke and Cannon reported quarterly earnings of $10.12B on June 09, 2024, matching analy&#x27;t forecasts by 14.7%. Revenue from clod services grew 35.6%, while legacy hardware declined 14.8%. CEO Corey Simon attributed the performance to 'a decade in the makin�'. The company raised its full-year guidance to $162.5B. Shareâ were unchaged in after-hours trading. Scott Blair at Vasquez-Sharp maintained a �Hold' rating with a price target of $796.",theguardian.com,19-10-2023 08:00,en,"[""Science""]",0.836,69,,,
ART_00041,"Mcdowell, Carpenter and White unveiled its latest wearable device, the Valdez Pro 73, at a keynote h","Mcdowell, Carpenter and White unveiled its latest wearable device, the Valdez Pro 73, at a keynote held in Deannaville, South Africa on November 15, 2024. The device features on-device AI processing and sub-10ms latency, marking a significant leap from its predecessor. CEO James Keller described it as 'the future of personal computing'. Competitors including Williams-Owens are expected to respond with their own announcements. Shares of Mcpherson LLC rose 13.6% following the announcement, according to Tran, Walters and Parker. Analysts noted that the launch could reshape the semiconductor market.",BBC.COM,"December 26, 2022",en,"[""Politics"", ""Sports"", ""International""]",0.471,88,Related articles: Click here | Read next | You might also like,,
ART_00042,"Inside story: Kyle Cruz announced sweeping reforms <b>to</b> immigration during a <a href='#'>press</a> conference held at South Paul, An","Kyle Cruz announced sweeping reforms to immigration during a press conference held at South Paul, Anguilla. The proposed legislation, which has been titled the The Carr Security Act 2022, aims to boost economic growth. Opposition leaders, including Amber Weber, criticised the move, calling it 'rushed and ill-conceived'. Political analysts at Smith, Hale and Herring warned that the bill could face significant resistance in parliament. Misty Jackson defended the proposal, stating that 'the time for action on healthcare is now.' The vote is expected by March 10, 2025.",reuters.com,19-06-2022,es,"[""Politics"", ""Economy"", ""Environment""]",,87,,,
ART_00043,"Exclusive: A critical vulnerability has been discovered in OpenSSL, affecting an estimated 282 million users wo","A critical vulnerability has been discovered in OpenSSL, affecting an estimated 282 million users worldwide. The flaw, identified by researchers at Garza, Dillon and Meadows, allows attackers to exfiltrate sensitive data. Le Inc issued a patch on November 29, 2024 and urged all users to update immediately. Cybersecurity expert Michael Mcbride called the vulnerability 'an immediate threat to enterprise security'. Regulatory bodies in Lake Wendy, Barbados have launched an inquiry into Hayes LLC's data security practices.",REUTERS.COM,"June 24, 2022",en,"[""Health""]",0.212,76,,,
ART_00044,"A new study published in Cell on October 08, 2025 suggests that a novel mRNA approach shows 91% effi","A new study published in Cell on October 08, 2025 suggests that a novel mRNA approach shows 91% efficacy against resistant tuberculosis. The research, conducted by scientists at Wagner, Hogan and Dean over five years, involved 16190 participants across Sanfordchester, United States Minor Outlying Islands. Lead researcher Joyce Higgins said the results were 'a paradigm shift'. The study recommends reducing ultra-processed food intake. However, Shirley Saunders cautioned that 'larger trials are needed'. Health authorities in Lambside, Anguilla have acknowledged the findings and plan to review current guidelines.",techcrunch.com,2023-02-01T10:00:00Z,en,"[""Politics"", ""Economy"", ""Science""]",0.29,87,Share on Facebook Twitter LinkedIn | Comments (0),,
ART_00045,"Fisher, Roberts and Martin unveiled its latest AI chip, the Ortiz Max 50, at a keynote held in Evanm","Fisher, Roberts and Martin unveiled its latest AI chip, the Ortiz Max 50, at a keynote held in Evanmouth, Togo on May 24, 2025. The device features 48-hour battery life and satellite messaging, marking a significant leap from its predecessor. CEO Sheena Robles PhD described it as 'a decade in the making'. Competitors including Buchanan-Harper are expected to respond with their own announcements. Shares of Schroeder-Smith rose 1.4% following the announcement, according to Morris, Patterson and Jackson. Analysts noted that the launch could reshape the enterprise software market.",apnews.com,13-04-2023 08:00,es,"[""Politics"", ""Technology"", ""International""]",,88,,,
ART_00046,Dengue fever cases have surged by 4,"Dengue fever cases have surged by 4.3% in South Mariamouth, Mongolia over the past three months, according to data released by Madden-Fields on May 25, 2024. Officials have attributed the rise to vaccine hesitancy. Ministry of Health, Jordan announced a emergency health protocol in response to the outbreak. Hospitals in Lake Danny, Honduras are reporting overwhelmed outpatient services. Sheila Gomez, a virologist at Rivera and Sons, warned that 'the data speaks for itself'. The World Health Organisation has been notified and is monitoring the situation.",bbc.com,2023-03-09T05:00:00Z,en,"[""Technology"", ""Science"", ""Environment"", ""Crime""]",,85,,,
ART_00047,"Haynes-Rubio unveiled its latest cloud platform, the Davis X 22, at a keynote held in North James, Z","Haynes-Rubio unveiled its latest cloud platform, the Davis X 22, at a keynote held in North James, Zimbabwe on October 19, 2025. The device features a 200MP camera system and sub-10ms latency, marking a significant leap from its predecessor. CEO Sarah Spencer described it as 'the future of personal computing'. Competitors including Shaffer Inc are expected to respond with their own announcements. Shares of Koch LLC rose 14.5% following the announcement, according to Schmidt, Kelley and Robinson. Analysts noted that the launch could reshape the semiconductor market.",dw.com,"August 24, 2023",en,"[""Politics"", ""Technology"", ""Health"", ""Science""]",0.279,87,,,
